DATE,agg_sent_finbert,dom_sent_finbert,agg_sent_news,dom_sent_news
2021-09-22 00:00:00,"[0.06531939655542374, 0.10203642398118973, 0.8326442241668701]",0,"[0.0006815499509684741, 0.7974233627319336, 0.20189504325389862]",-1
2021-11-16 00:00:00,"[0.18540000915527344, 0.7037713527679443, 0.11082861572504044]",-1,"[0.1997324824333191, 0.20010647177696228, 0.6001610159873962]",0
2021-11-20 00:00:00,"[0.018033504486083984, 0.7394700646400452, 0.24249640107154846]",-1,"[0.5698279738426208, 0.3787069320678711, 0.051465101540088654]",1
2021-11-27 00:00:00,"[0.07283353805541992, 0.03185619041323662, 0.8953102231025696]",0,"[0.0010783134493976831, 0.7171106338500977, 0.28181102871894836]",-1
2021-12-15 00:00:00,"[0.04985363036394119, 0.6569677591323853, 0.29317864775657654]",-1,"[0.3984336853027344, 0.19691845774650574, 0.40464791655540466]",0
2021-12-17 00:00:00,"[0.037273626774549484, 0.0921616330742836, 0.8705646991729736]",0,"[0.000148974999319762, 0.9995062947273254, 0.0003447298367973417]",-1
2022-01-14 00:00:00,"[0.09976398944854736, 0.21812529861927032, 0.6821107268333435]",0,"[0.00466974126175046, 0.3373698890209198, 0.6579603552818298]",0
2022-02-22 00:00:00,"[0.2305210828781128, 0.4013713300228119, 0.3681075870990753]",-1,"[0.00047613776405341923, 0.0010651234770193696, 0.998458743095398]",0
2022-03-01 00:00:00,"[0.06809502094984055, 0.14399313926696777, 0.7879118919372559]",0,"[0.15046058595180511, 0.7632468938827515, 0.08629252016544342]",-1
2022-03-15 00:00:00,"[0.07369759678840637, 0.8966048359870911, 0.029697543010115623]",-1,"[0.6644453406333923, 0.000373180111637339, 0.33518144488334656]",1
2022-03-31 00:00:00,"[0.20552925765514374, 0.544487476348877, 0.2499832659959793]",-1,"[0.0005413489998318255, 0.0004018392937723547, 0.9990568161010742]",0
2022-04-19 00:00:00,"[0.031215477734804153, 0.5358181595802307, 0.4329663813114166]",-1,"[0.523099958896637, 0.09138510376214981, 0.3855149447917938]",1
2022-05-08 00:00:00,"[0.06406538933515549, 0.2733476161956787, 0.6625869870185852]",0,"[0.23170273005962372, 0.14718730747699738, 0.6211100220680237]",0
2022-05-12 00:00:00,"[0.021334951743483543, 0.6311821341514587, 0.34748291969299316]",-1,"[0.33360782265663147, 0.34076759219169617, 0.32562455534935]",-1
2022-05-20 00:00:00,"[0.020358631387352943, 0.8203421831130981, 0.15929922461509705]",-1,"[0.9919098019599915, 0.004763977136462927, 0.0033262227661907673]",1
2022-05-26 00:00:00,"[0.19450481235980988, 0.46072542667388916, 0.34476980566978455]",-1,"[0.0008975087548606098, 0.3333122432231903, 0.6657902598381042]",0
2022-05-31 00:00:00,"[0.0707518607378006, 0.7237294316291809, 0.2055186629295349]",-1,"[0.22623147070407867, 0.00021364573331084102, 0.7735548615455627]",0
2022-06-28 00:00:00,"[0.08183027058839798, 0.37409093976020813, 0.5440787076950073]",0,"[0.2835290729999542, 0.1351032555103302, 0.5813676118850708]",0
2022-07-02 00:00:00,"[0.10049562156200409, 0.3548724353313446, 0.5446318984031677]",0,"[0.23748496174812317, 0.19990114867687225, 0.562613844871521]",0
2022-07-05 00:00:00,"[0.02614755742251873, 0.652808427810669, 0.32104405760765076]",-1,"[0.808452308177948, 0.18391548097133636, 0.007632322609424591]",1
2022-07-13 00:00:00,"[0.06780698150396347, 0.12113188952207565, 0.8110611438751221]",0,"[0.001866145757958293, 0.49687373638153076, 0.5012601017951965]",0
2022-07-18 00:00:00,"[0.044546086341142654, 0.6173019409179688, 0.3381519317626953]",-1,"[0.25647032260894775, 0.00034226098796352744, 0.7431873679161072]",0
2022-07-19 00:00:00,"[0.5119024515151978, 0.024708949029445648, 0.4633885622024536]",1,"[0.00030003924621269107, 0.00011487326992210001, 0.9995850324630737]",0
2022-07-25 00:00:00,"[0.014463825151324272, 0.94707190990448, 0.03846424072980881]",-1,"[0.9979115724563599, 0.0006057298160158098, 0.0014826906844973564]",1
2022-07-26 00:00:00,"[0.27604031562805176, 0.684162437915802, 0.039797186851501465]",-1,"[0.6523188948631287, 0.0004170092288404703, 0.34726405143737793]",1
2022-07-28 00:00:00,"[0.2968934178352356, 0.6169125437736511, 0.08619401603937149]",-1,"[0.3330555260181427, 0.00016759468417149037, 0.6667768955230713]",0
2022-07-30 00:00:00,"[0.03423738479614258, 0.7446724772453308, 0.22109010815620422]",-1,"[0.7500134110450745, 0.1697438657283783, 0.08024277538061142]",1
